SUBJECT,NBR,COURSE NAME,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,C-,D,F,W,AVG GPA
CSCI,211,Object-Oriented Program in C++,"ALAYEV, Y",16,0,1,0,0,0,0,0,1,0,1,2,11,1.4
CSCI,212,Object-Oriented Prog in Java,"TSE, C",36,1,6,1,3,3,0,3,5,0,0,3,11,2.7
CSCI,212,Object-Oriented Prog in Java,"LORD, K",161,5,6,11,11,13,13,10,12,9,9,21,39,2.22
CSCI,212,Object-Oriented Prog in Java,"LORD, K",127,7,12,5,7,11,7,4,6,3,12,24,29,2.12
CSCI,220,Discrete Structures,"KAHROBAEI, D",39,0,18,3,3,2,2,0,5,4,0,0,2,3.276
CSCI,220,Discrete Structures,"KAHROBAEI, D",42,0,14,3,1,3,2,0,5,5,0,3,6,2.869
CSCI,220,Discrete Structures,"CHYN, X",88,0,8,4,8,6,12,7,11,0,1,13,17,2.324
CSCI,220,Discrete Structures,"CHYN, X",58,1,6,2,4,9,7,3,11,0,0,12,3,2.244
CSCI,220,Discrete Structures,"CESARETTI, P",30,0,3,3,1,2,1,2,4,0,0,7,7,2.074
CSCI,240,Computer Org & Assembly Lang,"YEH, J",45,2,7,3,4,7,7,3,3,3,0,2,4,2.883
CSCI,240,Computer Org & Assembly Lang,"YEH, J",45,5,1,5,3,7,4,1,3,6,0,1,8,2.853
CSCI,240,Computer Org & Assembly Lang,"YEH, J",45,0,4,3,4,5,5,7,2,4,0,4,7,2.518
CSCI,240,Computer Org & Assembly Lang,"SVITAK, J",31,0,2,0,3,3,2,2,4,2,2,2,8,2.286
CSCI,240,Computer Org & Assembly Lang,"SVITAK, J",26,0,2,3,1,3,0,1,4,0,4,2,6,2.285
CSCI,240,Computer Org & Assembly Lang,"SVITAK, J",37,0,4,4,1,4,0,1,3,2,5,4,9,2.243
CSCI,313,Data Structures,"TAO, X",39,9,6,2,8,5,3,0,0,0,0,4,2,3.159
CSCI,313,Data Structures,"TAO, X",36,0,5,1,6,16,1,0,1,0,0,1,5,3.103
CSCI,313,Data Structures,"TAO, X",24,2,2,2,1,6,1,0,0,0,0,6,4,2.37
CSCI,313,Data Structures,"TSAI, C",10,1,0,0,1,0,0,0,1,0,0,1,6,2.325
